Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Code
Jordyn Brooks,27,MIA,LB,17,17,0,0,0,0,6,0,0,2,23,0,3,143,86,57,11,6,0,,BrooJo01
Karl Brooks,24,GNB,DL,17,0,0,0,0,0,2,1,0,3,0,0,3.5,24,14,10,4,6,0,,BrooKa00
Kendell Brooks,24,TEN,S,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,BrooKe02
Natrone Brooks,25,ATL,CB,9,0,0,0,0,0,1,0,0,0,0,0,0,5,4,1,0,1,0,,BrooNa01
Ben Brown,26,NWE,C,10,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,BrowBe01
Bobby Brown,24,LAR,NT,17,16,0,0,0,0,1,0,0,0,0,0,0,44,16,28,4,1,0,,BrowBo04
Chase Brown,24,CIN,RB,16,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,BrowCh10
Derrick Brown,26,CAR,DE,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,,BrowDe05
Dyami Brown,25,WAS,WR,16,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,BrowDy00
Ji'Ayir Brown,24,SFO,S,17,13,1,0,0,0,6,0,0,0,0,0,0,77,48,29,3,0,0,,BrowJi01
Mike Brown,25,TEN,S,17,4,0,0,0,0,1,0,0,0,0,0,0,49,26,23,0,0,0,,BrowMi02
Montaric Brown,25,JAX,CB,17,10,1,0,0,0,8,0,0,0,0,0,0,75,55,20,6,0,0,,BrowMo00
Pharaoh Brown,30,SEA,TE,15,7,0,0,0,0,0,0,1,0,0,0,0,3,1,2,0,0,0,,BrowPh01
Sydney Brown,24,PHI,S,11,0,1,21,0,21,2,1,0,0,0,0,0,7,6,1,0,0,0,,BrowSy00
Tony Brown,29,CLE,DB,6,0,0,0,0,0,0,1,0,0,0,0,0,5,2,3,0,0,0,,BrowTo01
Tre Brown,27,SEA,CB,13,3,0,0,0,0,1,0,0,0,0,0,0,26,21,5,0,0,0,,BrowTr03
Baron Browning,25,2TM,OLB,13,3,0,0,0,0,0,0,0,0,0,0,2,21,12,9,5,3,0,,BrowBa01
Jack Browning,23,TAM,P,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,BrowJa10
Jarvis Brownlee,23,TEN,CB,17,14,1,2,0,2,9,0,0,1,0,0,0,75,46,29,7,0,0,,BrowJa09
Daniel Brunskill,30,TEN,OL,17,10,0,0,0,0,0,0,1,0,-3,0,0,0,0,0,0,0,0,,BrunDa00
Taven Bryan,28,IND,DT,17,6,0,0,0,0,1,0,0,1,0,0,1,20,11,9,3,2,0,,BryaTa00
Coby Bryant,25,SEA,CB,17,11,3,87,1,69,6,1,0,0,0,0,0,73,48,25,1,2,0,,BryaCo01
Harrison Bryant,26,LVR,TE,13,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,BryaHa00
Myles Bryant,26,HOU,CB,11,0,0,0,0,0,0,0,0,0,0,0,0,14,11,3,0,0,0,,BryaMy01
DeForest Buckner,30,IND,DT,12,11,0,0,0,0,1,0,0,0,0,0,6.5,61,24,37,8,14,0,,BuckDe00
Javon Bullard,22,GNB,S,15,11,0,0,0,0,1,0,0,1,3,0,0,90,61,29,2,0,0,,BullJa00
Jonathan Bullard,31,MIN,DL,17,17,0,0,0,0,3,0,0,0,0,0,1,41,21,20,7,3,0,,BullJo00
